"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"como liberar espaco icloud","2","117","1.71%","7.71","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0428","MONITOR","P3"
"app para montar videos gratis","1","71","1.41%","7.24","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0425","MONITOR","P3"
"significado de língua para fora nas fotos","1","2","0.5%","11.5","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0424","CTR+TITLE/META","P3"
"ideias para fundo de fotos","1","37","2.7%","1.16","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0418","INTERNAL LINK (blog->money)","P3"
"melhor app pra editar","1","48","2.08%","5.8","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0417","MONITOR","P3"
"app de videos e fotos","1","68","1.47%","8.5","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0413","MONITOR","P3"
"dicas para fotos profissionais","7","73","9.59%","1.74","1-3","APOIO","foto-profissional","0.6","/foto-profissional","URL_PROVAVEL","0.0408","MONITOR","P3"
"melhor app para videos","1","98","1.02%","3.97","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0407","MONITOR","P3"
"ideias de fundos para fotos","2","48","4.17%","1.85","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0404","INTERNAL LINK (blog->money)","P3"
"app para editar video gratis","1","65","1.54%","7.14","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0399","MONITOR","P3"
"esvaziar icloud","2","70","2.86%","5.3","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0397","MONITOR","P3"
"app pra editar vídeo","1","64","1.56%","6.8","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0395","MONITOR","P3"
"melhor app de edicao de videos","1","84","1.19%","3.51","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0383","MONITOR","P3"
"direitos autorais fotografia","3","35","8.57%","1.43","1-3","APOIO","direitos-uso","0.6","/faq","URL_PROVAVEL","0.0381","MONITOR","P3"
"aplicativo para editar video gratis","1","61","1.64%","7.89","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.038","MONITOR","P3"
"melhor editor de vídeo para android","1","59","1.69%","8.9","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.037","MONITOR","P3"
"app para editar videos no celular","1","76","1.32%","3.28","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0368","MONITOR","P3"
"aplicativo de editar foto e vídeo","1","58","1.72%","7.59","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0365","MONITOR","P3"
"qual o melhor aplicativo para edição de vídeo","2","107","1.87%","3.96","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0364","MONITOR","P3"
"apps para edição","1","39","2.56%","5","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0363","MONITOR","P3"
"melhor horário para postar nas redes sociais","1","39","2.56%","5.23","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0363","MONITOR","P3"
"corporativo","1","2","0.5%","2.5","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0361","MONITOR","P3"
"como ter mais espaço no icloud sem pagar","1","57","1.75%","7.79","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0359","MONITOR","P3"
"ideia de fundo para fotos","1","27","3.7%","2.3","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0358","INTERNAL LINK (blog->money)","P3"
"lugares para foto","1","19","5.26%","2.79","1-3","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0.0358","MONITOR","P3"
"aplicativo de editar fotos e videos gratis","1","56","1.79%","7.64","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0353","MONITOR","P3"
"melhor aplicativo de edição de video","4","158","2.53%","3.92","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0351","MONITOR","P3"
"melhor app para editar videos no celular","1","37","2.7%","5.43","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0349","MONITOR","P3"
"traje casual masculino","2","994","0.2%","2.29","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0346","MONITOR","P3"
"traje formal masculino","0","924","0%","2.98","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0346","MONITOR","P3"
"aplicativo facil para editar videos","1","10","0.1%","4.7","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0343","MONITOR","P3"
"app de edição de vídeos","1","10","0.1%","6.3","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.034","MONITOR","P3"
"posses de pessoas","1","10","0.1%","8.9","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.034","MONITOR","P3"
"lugares para tirar foto","5","176","2.84%","3.49","4-6","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0.0339","MONITOR","P3"
"qual aplicativo para editar videos no celular","3","119","2.52%","3.9","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0333","MONITOR","P3"
"teoria das cores psicologia","1","739","0.14%","2.96","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0332","MONITOR","P3"
"ideias fotos profissionais","2","27","7.41%","2.96","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0331","MONITOR","P3"
"roupa masculina esporte fino casual","2","734","0.27%","1.16","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.033","MONITOR","P3"
"esporte casual","0","653","0%","2.68","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0329","MONITOR","P3"
"best places to photograph","0","645","0%","2.3","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0328","MONITOR","P3"
"melhor app para montar videos","1","34","2.94%","4.74","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0326","MONITOR","P3"
"poses para fotos politicas","1","23","4.35%","2.48","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0326","INTERNAL LINK (blog->money)","P3"
"poses para fotos empresariais","2","34","5.88%","1.44","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0324","INTERNAL LINK (blog->money)","P3"
"significado das cores","1","57","1.75%","3.26","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0322","MONITOR","P3"
"app para editar video no celular gratis","1","49","2.04%","6.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.031","MONITOR","P3"
"cores que","1","465","0.22%","2.21","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0308","MONITOR","P3"
"significado das cores sentimentos","3","477","0.63%","2.19","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0302","MONITOR","P3"
"melhores app para edição de video","3","104","2.88%","3.17","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0302","MONITOR","P3"
"um aplicativo para editar vídeo","1","31","3.23%","4.52","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0299","MONITOR","P3"
"sitio para fotos","1","5","0.2%","2.8","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0299","MONITOR","P3"
"ensaio fotografico","1","9","11.11%","2.67","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0298","MONITOR","P3"
"editor de vídeo para android","1","47","2.13%","9.17","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0295","MONITOR","P3"
"jpeg png","1","75","1.33%","10.4","11-15","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0294","MONITOR","P3"
"psicologia das core","1","48","2.08%","3.58","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0292","MONITOR","P3"
"fotos para redes sociais","2","33","6.06%","3.73","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0289","MONITOR","P3"
"cores que chamam atenção","2","345","0.58%","1.96","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0287","MONITOR","P3"
"roupas para trabalho masculino","1","316","0.32%","1.81","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0287","MONITOR","P3"
"sentimento das cores","1","46","2.17%","3.83","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0285","MONITOR","P3"
"no perfil","2","324","0.62%","1.19","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0283","MONITOR","P3"
"aplicativo de fotografia","0","659","0%","33.83","21-50","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0282","MONITOR","P3"
"posicionamento de imagem","2","311","0.64%","2.78","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0281","MONITOR","P3"
"fotos ocupando muito espaço iphone mesmo com icloud","1","45","2.22%","9.16","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0281","MONITOR","P3"
"tipos de dress code masculino","1","12","8.33%","2.83","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.0279","MONITOR","P3"
"apps de vídeo","2","52","3.85%","7.21","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0277","CONTENT+INTERNAL LINK","P3"
"esporte casual masculino","1","259","0.39%","2.7","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0276","MONITOR","P3"
"aplicativo de fotos","0","541","0%","35.06","21-50","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0274","MONITOR","P3"
"salomão concursos","1","44","2.27%","7.27","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0273","MONITOR","P3"
"porque meu icloud esta cheio","1","43","2.33%","3.86","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0272","MONITOR","P3"
"cor da sabedoria","2","264","0.76%","1.86","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0271","MONITOR","P3"
"cores que transmitem paz e tranquilidade","2","234","0.85%","1.98","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0264","MONITOR","P3"
"psicologia de cores","6","323","1.86%","1.2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0263","MONITOR","P3"
"fundos profissionais para fotos","3","36","8.33%","2.53","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0262","INTERNAL LINK (blog->money)","P3"
"vestimenta social masculina","1","197","0.51%","1.91","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0261","MONITOR","P3"
"cores e sentimentos","8","350","2.29%","1.48","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0259","MONITOR","P3"
"lugar fotos","1","13","7.69%","1.85","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0255","MONITOR","P3"
"mais lugares","1","5","0.2%","6","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0253","MONITOR","P3"
"traje social casual","1","160","0.62%","2.35","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0249","MONITOR","P3"
"como mandar fotos para o icloud e liberar espaço","1","67","1.49%","10.49","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0247","MONITOR","P3"
"png ou jpg para instagram","1","151","0.66%","2.3","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0245","MONITOR","P3"
"fotos","1","46","2.17%","10.65","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0245","CONTENT+INTERNAL LINK","P3"
"psicologia da cor","1","147","0.68%","2.36","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0244","MONITOR","P3"
"o que cada cor transmite","2","163","1.23%","1.8","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0241","MONITOR","P3"
"como tirar foto de rosto","1","16","6.25%","5.38","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0239","INTERNAL LINK (blog->money)","P3"
"limpar icloud drive iphone","2","72","2.78%","8.7","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0238","MONITOR","P3"
"psicologia da cores","4","195","2.05%","2.64","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0237","MONITOR","P3"
"traje business casual masculino","1","128","0.78%","2.8","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0236","MONITOR","P3"
"jpg ou png para instagram","3","170","1.76%","1.8","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0235","MONITOR","P3"
"lugares bonitos para tirar fotos perto de mim","3","43","6.98%","5.44","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0233","CONTENT+INTERNAL LINK","P3"
"food foto","1","12","8.33%","2.58","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0233","MONITOR","P3"
"cores sentimentos","1","112","0.89%","1.1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0228","MONITOR","P3"
"smart casual homem","1","111","0.9%","2.93","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0227","MONITOR","P3"
"poses retrato","1","8","12.5%","1.62","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0227","MONITOR","P3"
"sentimentos das cores","1","108","0.93%","1.94","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0226","MONITOR","P3"
"aplicativo de arrumar fotos","1","24","4.17%","4.88","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0223","MONITOR","P3"
"icloud liberar espaco no iphone","1","38","2.63%","8.18","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0221","MONITOR","P3"
"como montar linkedin","1","1","1%","1","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.0221","MONITOR","P3"
"fotografía de estudio","1","1","1%","1","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0221","MONITOR","P3"
"cores dos sentimentos","5","174","2.87%","1.6","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.022","MONITOR","P3"
"cores na psicologia","3","137","2.19%","1.27","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0219","MONITOR","P3"
"qual cor transmite confiança","1","95","1.05%","2.16","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0218","MONITOR","P3"
"cores profissionais","1","93","1.08%","1.63","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0217","MONITOR","P3"
"qual o melhor aplicativo para editar fotos e vídeos grátis","1","32","3.12%","3.72","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0216","MONITOR","P3"
"no lightroom","1","4","0.25%","1.25","1-3","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.0215","INTERNAL LINK (blog->money)","P3"
"teoria das cores sentimentos","3","125","2.4%","2.94","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0213","MONITOR","P3"
"aplicativo que edita video gratis","1","37","2.7%","7.3","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0211","MONITOR","P3"
"divulgar live","1","37","2.7%","9.16","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0211","MONITOR","P3"
"posicionamento de imagem pessoal","3","57","5.26%","4.84","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0201","MONITOR","P3"
"fotógrafo publicitário","1","2","0.5%","18","16-20","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0186","CONTENT+CASE","P3"
"agencia de fotografos","1","2","0.5%","20","16-20","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0186","CONTENT+CASE","P3"
"cores que transmitem tranquilidade","1","56","1.79%","1.54","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0185","MONITOR","P3"
"revelar foto","1","2","0.5%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0181","MONITOR","P3"
"envie fotos","1","2","0.5%","3","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0181","MONITOR","P3"
"look casual para trabalho masculino","1","49","2.04%","2.27","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0176","MONITOR","P3"
"cores e o que elas transmitem","1","46","2.17%","1.72","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0172","MONITOR","P3"
"qual o significado da cor roxa","1","45","2.22%","2.13","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.017","MONITOR","P3"
"app de edição de video gratis","2","62","3.23%","6.73","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0169","MONITOR","P3"
"cores e seus sentimentos","1","44","2.27%","1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0169","MONITOR","P3"
"beauty fair","1","33","3.03%","6.42","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0167","MONITOR","P3"
"lugares bonitos em sp para tirar fotos","5","38","13.16%","1.29","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0166","MONITOR","P3"
"cores de sentimentos","1","41","2.44%","1.1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0164","MONITOR","P3"
"look masculino casual trabalho","1","37","2.7%","2.92","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0157","MONITOR","P3"
"qual aplicativo faz video","1","32","3.12%","9.75","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0155","MONITOR","P3"
"lugares para tirar foto em são paulo","4","20","0.2%","1","1-3","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0.0153","MONITOR","P3"
"lugares para tirar fotos","2","103","1.94%","10.76","11-15","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0.0151","MONITOR","P3"
"cores de imagem","1","2","0.5%","4.5","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0149","MONITOR","P3"
"grátis","1","2","0.5%","6","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0149","MONITOR","P3"
"foto culinaria","1","7","14.29%","1","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.0145","MONITOR","P3"
"aplicativo de montagem de video","1","31","3.23%","9.16","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0142","MONITOR","P3"
"jpeg ou png para instagram","1","30","3.33%","1.57","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0142","MONITOR","P3"
"cores que remetem a criatividade","1","30","3.33%","2.7","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0142","MONITOR","P3"
"lugares para fazer sessão de fotos","1","14","7.14%","4.79","4-6","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0.0141","CONTENT+INTERNAL LINK","P3"
"lugar de fotografia","1","14","7.14%","5.29","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0141","CONTENT+INTERNAL LINK","P3"
"tipos de dresscode","1","28","3.57%","2.25","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0137","MONITOR","P3"
"editor de video gratis android","1","30","3.33%","9.5","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0129","MONITOR","P3"
"fotos profissionais poses","1","9","11.11%","1.44","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0119","INTERNAL LINK (blog->money)","P3"
"app edit video","1","29","3.45%","7.28","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0115","MONITOR","P3"
"emoção das cores","1","21","4.76%","1.71","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0115","MONITOR","P3"
"alexandre fotografo","1","24","4.17%","6.21","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0114","CONTENT+INTERNAL LINK","P3"
"editar uma foto","1","1","1%","1","1-3","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0111","MONITOR","P3"
"lugares legais para tirar foto em sp","1","1","1%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0111","MONITOR","P3"
"quero mudar minha foto","1","1","1%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0111","MONITOR","P3"
"foto de almoço","1","1","1%","2","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0111","MONITOR","P3"
"como liberar espaço no iphone icloud","1","28","3.57%","7.89","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0101","MONITOR","P3"
"ale fotografia","5","37","13.51%","2.3","1-3","BRANDED","outros","0.3","/","URL_PROVAVEL","0.0092","MONITOR","P3"
"aplicativo de editar video gratis","1","16","6.25%","5.75","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.009","MONITOR","P3"
"190m²","1","1","1%","4","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0088","MONITOR","P3"
"ios 18","1","1","1%","5","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0088","MONITOR","P3"
"lugares seguros","1","1","1%","6","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0088","MONITOR","P3"
"s","1","1","1%","6","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0088","MONITOR","P3"
"roupa masculina para reunião de trabalho","1","14","7.14%","1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0083","MONITOR","P3"
"food porn","1","4","0.25%","2.75","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.008","MONITOR","P3"
"aplicativo grátis para fazer vídeo","2","51","3.92%","8.16","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0074","MONITOR","P3"
"paleta de cores calmas","1","12","8.33%","1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.007","MONITOR","P3"
"porno video grátis","1","1","1%","13","11-15","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.006","MONITOR","P3"
"cor amarela psicologia das cores","1","7","14.29%","1.43","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0058","INTERNAL LINK (blog->money)","P3"
"lugares para tirar foto em sao paulo","1","2","0.5%","1","1-3","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0.0054","MONITOR","P3"
"app para fazer video porno","1","2","0.5%","2","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0054","MONITOR","P3"
"educação","1","2","0.5%","2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0054","MONITOR","P3"
"foto de perfil institucional","1","6","16.67%","1","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0049","MONITOR","P3"
"armazenamento iphone cheio","1","43","2.33%","10.9","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0037","MONITOR","P3"
"lugares instagramaveis","1","24","4.17%","9.12","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0034","MONITOR","P3"
"editores de video gratis para celular","1","24","4.17%","9.79","7-10","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.0034","MONITOR","P3"
"pessoa tirada","1","24","4.17%","9.79","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0034","MONITOR","P3"
"significado da cor laranja","1","8","12.5%","2.5","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0034","MONITOR","P3"
"a memoria do meu iphone esta cheia o que fazer","1","1","1%","1","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"avançado","1","1","1%","1","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"como limpar a memoria do iphone","1","1","1%","2","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"escritório","1","1","1%","2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"eu já fiz tudo isso","1","1","1%","2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"me dê mais opções","1","1","1%","2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"as cores das pessoas","1","1","1%","3","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"como acessar fotos no icloud","1","1","1%","3","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"como limpar o iphone memoria cheia","1","1","1%","3","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"site do icloud","1","1","1%","3","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0033","MONITOR","P3"
"vantagens e desvantagens png","1","7","14.29%","1.86","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0022","MONITOR","P3"
"o que é o backup do icloud","1","7","14.29%","2","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0022","MONITOR","P3"
"como funciona o icloud","1","7","14.29%","2.57","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0022","MONITOR","P3"
"melhor horario instagram domingo","1","23","4.35%","9.39","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0015","MONITOR","P3"
"aplicativo de vídeo pornô","2","81","2.47%","10.93","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0008","MONITOR","P3"
"cores para psicologia","1","6","16.67%","2","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0007","MONITOR","P3"
"lugares para tirar foto em sp","89","365","24.38%","5.68","4-6","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lugares para fotografar em sp","32","104","30.77%","1.61","1-3","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lugares para sessão de fotos em sp","23","217","10.6%","11.17","11-15","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
